id	text	misogynous	aggressiveness
5227	<MENTION_1> <MENTION_2> FUORI A PEDATE CHI VUOLE FAR DIVENTARE L'ITALIA SOTTOMESSA AI PAESI DEL NORD! NON DIMENTICHIAMO CHE QUESTO PROCIONE È QUELLO CHE CI HA INGUAIATI CON L'€uro!ALLORA HANNO ALLARGATO LE POSSIBILITÀ PER POI APPROFITTARNE TUTTI! CERTO C	0	0
5228	<MENTION_1> <MENTION_2> <MENTION_3> Vabbé ce penso io che te sei encefalitica.. però fattela 'na scopata ogni tanto che sei più acida de 'no yogurt scaduto..	1	0
5229	Quando conoscete una persona a cui tenete tanto, non avete paura che tipo, qualcuno migliore di voi possa portarl* via da voi e perciò siete gelosi di questa persona e iperprotettivi?O sono l'unica psicopatica?#circozzi	0	0
5230	questi so talmente patrioti e difensori di cultura, tradizioni e genio italico che il partito lo chiamano usando un termine inglese.facce da schiaffi, corpi da foibe	0	0
5231	Ciao bella tetta	1	0
5232	Grillo, Di Battista e tutti gli schiaffi che volano." 95	0	0
5233	Ma questa sta male proprio raga, è proprio pericolosa, ma ingravidati da sola psicopatica #TemptationIsland	1	0
5234	<MENTION_1> Lo credo bene, ma starà bene. Per fortuna James è tornato o l’avrei preso a schiaffi io stessa.	0	0
5235	<MENTION_1> <MENTION_2> Se vuoi ti apro anche il cervello.	1	1
5236	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> È una psicopatica..	1	0
5237	<MENTION_1> Che gran pezzo di figa tua moglie wow&#x1f60d;&#x1f60d;&#x1f60d;&#x1f60d;	1	0
5238	In tutte le Nazioni Democratiche gli #immigraticlandestini vengono #espulsi perfino nel Continente Africano un esempio in #Kenya anzi se ti trovano con il permesso #scaduto ti mettono in una lurida #cella di polizia ed entro pochi giorni ti #reimpatriano	0	0
5239	<MENTION_1> Che bel culo te lo metterei tutto in figa e poi ti sborerei sul quel bel culo abbronzato&#x1f4a6;&#x1f4a6;&#x1f4a6;&#x1f4a6;&#x1f4a6;&#x1f4a6;	1	1
5240	<MENTION_1> Prendi del cazzo fidati, sei più acida di un limone e comunque :1- ho fatto una battuta e non ho giudicato2- è vero, temptation island è un programma da decerebrati3-i concorrenti sono degli ebetiOra ho giudicato, buona giornata :)	1	0
5241	<MENTION_1> Mi piacerebbe che lo faresti anche a me e ti sborro dentro la bocca	1	1
5242	<MENTION_1> Mmmm che bel culo e bel buco di culo hooooommmm tutto da leccare suchiare	1	0
5243	Fantastica quella da cui sono andata una settimana fa ed ha collegato il mio mal di gola che non passa allo stomaco. Gente che si crede stocazzo perché laureata in medicina e ne sa quanto (se non di meno) mio nonno che faceva il bidello.	0	0
5244	NON LO STO GUARDANDO MANNAGGIA LA PUTTANA DIMMI CHE NON LO HA FATTO DAVVERO........	0	0
5245	Ma senti a sta lurida	1	0
5246	<MENTION_1> ADESSO TI DEVO SPACCARE IL CULO! SE VENGO IN AMERICA TI STUPRO IL CULO PUTTANA! TI ENTRO ANCHE I COGLIONI NEL CULO! E POI TI RIEMPIO DI SBORRA!!! TI FACCIO UN CLISTERE DI SBORRA! HAI CAPITO! TI FACCIO UN CLISTERE DI SBORRA DOPO CHE TI SPAC	1	1
5247	<MENTION_1> ok io ho solo detto che sei una Troia	1	0
5248	<MENTION_1> <MENTION_2> <MENTION_3> Mmmmmm ti annuso e lecco il buco del culo ... Poi ti scopo e ti sborro nel culo	1	1
5249	Adesso passiamo alla pazza psicopatica #Temptationisland	1	0
5250	<MENTION_1> Tu'sei una bella maestra e ...molto porca,se torni a nascere,nasci ancora Trans	1	0
5251	<MENTION_1> Ma ciao bellissima tettona oggi è il mio compleanno	1	0
5252	in questo paese c'è chi spera di fare pulizia e riportare la giustizia e chi invece ama sguazzare nella melma più sozza e luridai fatti e i nomi sono noti da tempo.	0	0
5253	#TomFeltonMovieNight Ron ti prendo a schiaffi comunque	0	0
5254	<MENTION_1> Vacco dio, sei leggero hombre.Porco dio, che idiota cosmico, puttana eva.Fatti una vita, malato del cazzo.	0	0
5255	<MENTION_1> complimenti che tettona	1	0
5256	<MENTION_1> Sei talmente troia che ti inventeresti le peggio cagate	1	0
5257	25 enne con un gran bel culo, me lo sono scopato per bene! &#x1f60b;	0	0
5258	Per non parlare dei "eh ma lo so che ti piace" "non fare la figa di legno" "tanto lo so che siete tutte cagne". Fuck off please&#x1f5a4;	0	0
5259	IL BUIO TI INNAMORA QUALCUNO TI CONSOLA LA NOTTE VOLA	0	0
5260	che dura la vita da soyeon stan sta qua posta ogni morte di papa ma poi nelle photo teaser È COSÌ porcq troia sei gnocca posta ogni tanto per dio	1	0
5261	comunque complimenti pietro, continua pure a dire che antonella è arida/acida solo perchè non ha figlimA IO TI AMMAZZOOOOOOO	0	0
5262	<MENTION_1> La culona inchiavabile &#x1f923;	1	0
5263	<MENTION_1> Ti scoperei tutta porcona	1	1
5264	Fondoschiena bellissimo bel culo mmmm	1	0
5265	<MENTION_1> Sei una cagna da sottomettere duramente	1	1
5266	Ridi ridi... senza questo calendario da schiaffi volevo vedere chi fermeva la corazzata nerazzurra.#UdineseJuventus	0	0
5267	Pietro mi ricorda un truzzo delle medie in cerca di figa che fa er pezzo grosso con le zoccole sputtanando la sua fida	0	0
5268	Ma che fai parte degli nct 127? No perché sei proprio una puttana	1	0
5269	Sondaggio rapido...La situazione è stata questa:"Flydown che in alto volano gli schiaffi""Si dice " Take it down""Cosa ne pensate?	0	0
5270	<MENTION_1> Tira due grandissimi schiaffi in faccia a ste coglione	1	1
5271	<MENTION_1> Sei una gran porca.. come piace a me &#x1f609;	1	0
5272	Oh mio dio che figa da scopare &#x1f60d;&#x1f60d;&#x1f60d;&#x1f60d;	1	1
5273	37. pur abitando in culo alla balena, sono andata ad un bel po’ di concerti e sono ricordi preziosi che conservo con affetto	0	0
5274	<MENTION_1> Che faccia da TROIA!!!	1	0
5275	<MENTION_1> <MENTION_2> ...questo si...e' un bel tronchetto della felicita'....un bel missile..terra...culo...che sberla!!!!!!!!!!	0	0
5276	<MENTION_1> <MENTION_2> Il solito egocentrista sei un patetico buffone hai preso quello che la culona tedesca ed il frocio francese avevano deciso da tempo scendi dal piedistallo che non sei nessuno	1	0
5277	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> Puttana sta zitta. Grazie	1	1
5278	C'era una stella sola e limpida nel cielo color di rose, un battello lanciò un addio sconsolato, e sentii in gola il nodo gordiano di tutti gli amori che avrebbero potuto essere e non erano stati.Gabriel García Márquez	0	0
5279	<MENTION_1> Sono io ti scopo alla grande	1	1
5280	ho una voglia di prendere a schiaffi sarri	0	0
5281	Danilo D'Ambrosio, 200 presenze nell'inter.Nel ruolo di Maicon.Poi si chiedono perché nell'ultimo decennio hanno preso solo schiaffi.Sarà colpa del calendario.	0	0
5282	<MENTION_1> <MENTION_2> Sei un povero coglione.Ma per tua fortuna questo vorrà dire, al massimo, che prima o poi qualcuno ti assesterà un cazzotto in faccia, non dovrai mai temere uno stupro.Pensaci su.	0	0
5283	“Non farle del male, dentro quella psicopatica c’è sempre mia sorella.” &#x1f62d;&#x1f62d;&#x1f62d;&#x1f62d; #TheOriginals	1	0
5284	<MENTION_1> Nel senso che sei una stupenda porca &#x1f64f;	1	0
5285	<MENTION_1> <MENTION_2> <MENTION_3> Quando sei donna, ma sei inumana e acida opta per tacere e scomparire. Staremmo tutti meglio	1	1
5286	<MENTION_1> Pensa quanti schiaffi prenderete in Europa! Non vedo l’ora!	0	0
5287	tutti quegli IDIOTI GIUVENDINI che sperano in una vittoria dell'Atalanta e che probabilmente non si sono mai mossi dal proprio divano dove comodamente hanno guardato su Sky le partite in compagnia di quella culona…	1	0
5288	Reputo che <MENTION_1> sia utilizzato solo da persone politicamente corrette, moraliste, fanatiche o appassionate di merda. È la feccia della società! (Se stai leggendo potresti non essere feccia, non generalizzo mica, però se sei donna non ti mettere al volante d** animale)	1	0
5289	<MENTION_1> Bel culo da leccare fatti entrare la lingua dentro&#x1f445;&#x1f445;&#x1f445;&#x1f445;&#x1f445;&#x1f445;&#x1f445;&#x1f445;&#x1f445;&#x1f445;prima a punta dopo a spatola	1	1
5290	Piacenza, l’intercettazione che smaschera le torture inferte dai carabinieri arrestati: “Che cazzo ridi?” e lo prendono a schiaffi via <MENTION_1>	0	0
5291	<MENTION_1> (Apro poco, leggo poco, ma mi basta per vedere che, oltre a liti, ripicche etc, non devi pensarla diversamente da chi detta tendenza qui, altrimenti ti aggrediscono o ostracizzano o, se sei fortunato, ti ignorano. Chi ha millemila follower è 	0	0
5292	sto proprio male io cerco di farmi scivolare le cose addosso e rimanere sempre positiva ma a cosa cazzoserve se non cambia niente mai e la vita continua s prenderti a schiaffi io sono stanca cazzoooo	0	0
5293	Zayn allora te lo dirò con calma Louis ti ha taggato in un tweet per i 10 anni quindi se non prendi il telefono in mano e scrivi qualcosa ti brucio la fattoria #10YearsOfOneDiretion #10YearsOf1D	0	0
5294	<MENTION_1> Sei una lurida troia affamata di cazzi	1	1
5295	Cioè brutta troia già sono stato male un'estate per te adesso cerco di dimenticarmi di te e ti iscrivi pure nella mia stessa palestra per farmi vedere la tua faccia da ingoia cazzi? Boh E no raga non dico troia con leggerezza questa in 5 anni ha cambiato qualche 7 ragazzi	1	0
5296	Quando ti guarda con quegli occhi da troia sottomessa è così eccitante...	1	0
5297	Ora in onda Samuel Heron feat. The Kolors - Nella Pancia Della Balena su Webradio Finance	0	0
5298	<MENTION_1> Che cagna che sei	1	0
5299	La psicopatica fusani buttatela fuori cretina	1	0
5300	<MENTION_1> Che bel culo	1	0
5301	Giustissimo(Questo Twitter lo rittuittato)	0	0
5302	Anna che dice "Sono Velenosa" no tesò tu sei pure una stronza acida #TemptationIsland	1	0
5303	Solo io vorrei entrare nella tv e dare due schiaffi ad Anna? #TempationIsland	1	0
5304	<MENTION_1> Complimenti bella tettona	1	0
5305	Lei è da schiaffi. #viteallimite	0	0
5306	Siamo a 1200.. ancora 300!!	0	0
5307	È Bella... È Simpatica... Mi fa’ Impazzire... Eppure... La prenderei a Schiaffi...&#x2764;️	1	0
5308	<MENTION_1> guarda che figli di troia!!! Mi ricordo quando a 14 anni mi presero a schiaffi perché mi trovarono addosso una briciola di fumo che schifoooooo maledetti maiali	0	0
5309	<MENTION_1> Spazi vuoti da riempire con schiaffi, tanti è ben assestati	0	0
5310	<MENTION_1> Ma non li hanno ancora impiccati? che cazzo aspettano!	0	0
5311	<MENTION_1> <MENTION_2> <MENTION_3> perché mai il comune dovrebbe promuovere una fondazione privata che ha come regolamento primario la discriminazione su base religiosa? Che sia a scopo di notizia o di endorsement, resta pubblicato su un sito della PA u	0	0
5312	Cosa vuoi a fare il mio nome totolo, quando non ti sei dissociata da gente che mi minaccia di morte, invita a sciogliermi nell'acido, mi augura lo stupro? Perché esattamente vuoi il mio nome, totolo? La verità storica non cambia, che il mio nome ci sia o no sotto I mieti twt.	0	0
5313	Oggi, ricordiamo i venti civili e partigiani impiccati e mitragliati ai Boschi di Ciano, Modena, il 18 luglio '44. L'esecuzione fu condotta dai fascisti del Battaglione della Morte. In onore a questi martiri, sciogliere Forza Nuova e Casapound che ancora inneggiano al fascismo.	0	0
5314	<MENTION_1> ma proprio la testa ti apro	0	0
5315	<MENTION_1> <MENTION_2> <MENTION_3> Michelona la tettona. Conosco conosco ehehehhe	1	0
5316	<MENTION_1> E si.. te lo vorrei mettere proprio nel culo...anche perché un bel culo di questo merita di essere soddisfatto..	1	1
5317	<MENTION_1> che acida incredibile mi tratti come il kenma di mookie tratta kuroo smfh	1	0
5318	<MENTION_1> Che donna fortunata. Forse solo un tantino acida nella risposta (è un'opinione personale che quindi può essere sbagliatissima), ma fortunata. No, non le invidio né la barca né tanto meno il bel marito...però non ha sciolto il mio dubbio: vel	1	0
5319	<MENTION_1> Se i falchi dem riescono ad avere la loro guerra con la Russia o la Cina prendono una quantità di schiaffi che non si rialzano	0	0
5320	Oggi ho contattato questa gran culona su Badoo. Mi scrive di aver già un appuntamento con altro ragazzo stasera. Ma quando ha visto la foto della mia mazza mi ha scritto che era libera e di vederci a casa sua.	1	0
5321	<MENTION_1> La mia compagna di liceo più intelligente era malata psicopatica fissata con gli One Direction, non ho mai capito come si sia creata sta cosa di ossessione verso di loro	1	0
5322	<MENTION_1> Che bel culo, una bella pecorina	1	1
5323	<MENTION_1> sei una cagna	1	0
5324	Obama con le medaglie dove sei?	0	0
5325	CHE TROIA CJE SEI PIETRO	0	0
5326	QUESTO È QUELLO CHE VOGLIO LEGGERE	0	0
5327	<MENTION_1> Però dare della pazza alla tizia psicopatica, non mi sembra un'offesa (sul resto degli insulti, sono d'accordo).	1	0
5328	<MENTION_1> Pazza psicopatica da rinchiudere	1	0
5329	<MENTION_1> shockthegalgo posso chiederti cortesemente di farti vedere in viso? Sei un pisciaturo, hai da ridire su tutti, ma mai ti sei fatto vedere. Se volano 2 schiaffi ne prendi 5, ecco perché Nonostante tu sia iscritto dal 2011 non ti sei mai fatt	0	0
5330	cioè, al tuo uomo non dai il culo, non lo fai scopare a pecorina perchè lo ritieni offensivo, non gli fai l'ombra di un pompino perchè lo trovi degradante e la strana sono io che faccio tutto ciò?sarò pure troia, ma tu sei una donna morta e non te ne sei accorta	1	0
5331	La Juve piglia gli schiaffi in faccia anche dal Lione mi sa	0	0
5332	<MENTION_1> ADESSO CAPISCO PERCHÉ TU NE HAI VENTIMILA! TETTONA!!! 11	1	0
5333	<MENTION_1> Da ateo sbattezzato, devo dire la verità: l'unica pulsione che provo è cacare in gola a sto demente.	0	0
5334	niall ha proprio voglia di essere preso a schiaffi a quanto pare	0	0
5335	<MENTION_1> Ti scoperei tutta	1	1
5336	<MENTION_1> <MENTION_2> <MENTION_3> Anche con un’oca ci vuole coraggio! Forse dovresti avere un minimo di dignità! Che poi invecchiando potresti diventare anche tu una balena ...ma con un cervello da oca !e chiedo scusa alle oche !	1	0
5337	<MENTION_1> <MENTION_2> Lo sapevo che adesso uscivano i Coglioni come te.... Datti alle bocce.. Che il calcio non fa per te..	0	0
5338	Non un #mostro marino, ma un #fossile di #cetaceo: svelato il mistero della #balena di #LeonardoLo rivela uno studio congiunto di ricercatori delle università di Pisa e di San Diego, che ha analizzato alcuni passaggi del #Codex #Arundel	0	0
5339	Antonio prenditi a schiaffi da solo	0	0
5340	Louis che fa il sottone mentre Harry fa la figa di legno e si lascia desiderare un po’ #10YearsOfOneDiretion	0	0
5341	<MENTION_1> Le hai pisciato in gola a sta troia	1	1
5342	Un grande groppo in gola...	1	0
5343	Che gli frega a gente come la bellanova .... con la "gola" enorme che si ritrova col cavolo che riescono a tagliargliela i "tagliagole" jihadisti. ....	1	1
5344	#TemptationIsland minchia Ilaria, ma tirarlo un altro po' quel costume, in ogni caso che bel culo &#x1f648;&#x1f602;	1	0
5345	<MENTION_1> Che meraviglia, sei una bellissima grandissima PORCA hai un bellissimo culone. Ti darei la mia banana da succhiare e da infilare tutta nel culo	1	1
5346	<MENTION_1> Screen che la psicopatica mi ha bloccato	1	0
5347	<MENTION_1> Brava lottie, ma proprio del male, sopratutto a Matthew, che ultimamente sta facendo qualche cacata, per quanto riguarda Charles... boh situazione indefinita, da prenderlo lo stesso a schiaffi però	0	0
5348	se vedo solo un'altro (1) americano romanticizzare la mafia vado a prenderlo a schiaffi	0	0
5349	Non c'è la facevo più ho detto claudia allarga le gambe che ti scopo la figa, commentate che arriva la spagnola fatta	1	0
5350	<MENTION_1> <MENTION_2> Ho letto anche il resto sugli ultimi 2 e giocando così... gli ultimi 2 siamo usciti facendo 3 a 1 al bernabeu e come dici tu facendoci prendere a schiaffi dai ragazzini delll'ajax (con l'attenuante delle defezioni nella formazi	0	0
5351	<MENTION_1> Ti scoperei fino ad esaurirti &#x2764;️	1	1
5352	Non dare retta a questa gente che non ha niente di meglio da fare che insultarti, brutta troia che non sei altro! — Voi avete qualche problema	1	0
5353	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> Hey testicolo analfabeta: quando qualcuno ti dice “se ti incontro ti rovino” ti sta minacciando, anche se la frase inizia per “se”; quando ti dice “se ti avessi incontrato da giovane ti avrei raddr	0	0
5354	<MENTION_1> Che brava pompinara	1	0
5355	<MENTION_1> Anche a me.....e poi la tua passera.....lee tue bocce,il tuo splendido c... Sono un chiaro invito a dare sempre di più fino a che non esce più niente....	1	0
5356	<MENTION_1> Mmmm che bel culo sodo e libidinoso mmmm tutto da leccare e trapanare	1	1
5357	<MENTION_1> Cioè, per capire, io faccio schifo con i pantaloncini e di conseguenza non dovrei metterli, ok. Ma la balena con gli shorts cortissimi invece è vittima del patriarkato e può vestirsi come vuole?	1	0
5358	<MENTION_1> <MENTION_2> complimenti che tettona	1	0
5359	<MENTION_1> Cose che scrive una con la bocca da pompinara che fa la santa in tl e sesso in dm ahahahah	1	0
5360	<MENTION_1> Ha lo sguardo da psicopatica... Devo farle visita uno di questi giorni...	1	1
5361	<MENTION_1> CERTO PERCHE' I PRENDITORI ITALIANI COME TE VORREBBERO SOLDI A FONDO PERDUTO,NON VI BASTANO QUELLI CHE GUADAGNATE,POI TU IMPRENDITRICE NEL SETTORE TURISMO SEI DI PARTE MA SICCOME FAI SCHIFO LURIDA SCHIFOSA PARASSITA.	1	0
5362	&#x1f60d; Bandiera a schiaffi raddoppia e porta con sé un doppio episodio!⁣⁣&#x1f50b; Oltre a MotoGP, Moto2 e Moto3 abbiamo parlato anche della ripresa della MotoE insieme ai ragazzi di <MENTION_1> esperti in materia del settore!⁣⁣&#x1f4aa; Non sono mancate le cose d…	0	0
5363	<MENTION_1> Ti scoperei ore	1	1
5364	<MENTION_1> Tette da spagnola....poi la leccherei per bene...e poi mentre la scopo ti faccamo insieme un bel pompino&#x1f630;&#x1f630;	1	1
5365	<MENTION_1> Che bel culo	1	0
5366	<MENTION_1> <MENTION_2> Ti scoperei in tutti i buchi	1	1
5367	Vi dico solo che lo speciale su radio dejeey l'ho ascoltato in macchina con mia mamma e mio fratello mentre scleravo e cantavo a squarcia gola.Le loro facce erano così: &#x1f441;️&#x1f444;&#x1f441;️#10YearsOneDirection #1DReunion #18MonthsMyAss	0	0
5368	<MENTION_1> Chi terrorizza le famiglie è il tuo rossetto da puttanone di periferia.	1	0
5369	<MENTION_1> Che bella tettona sexy invitante e porcella&#x1f48b;&#x1f48b;&#x1f48b;	1	0
5370	Talisa una delle migliori tra l'altro	0	0
5371	Che bel culo da scopare &#x1f445;&#x1f445;&#x1f445;&#x1f445;&#x1f445;&#x1f60b;&#x1f60b;&#x1f60b;&#x1f60b;&#x1f60b;	1	1
5372	La perla di Norimberga è ufficialmente libera dagli afidi!	0	0
5373	<MENTION_1> Non c’è di che baldracca	1	0
5374	<MENTION_1> Che belle bocce di mattina, sono uno spettacolo. Ciao Stella un abbraccio &#x2615;&#x1f339;&#x1f48b;	1	0
5375	<MENTION_1> <MENTION_2> La bella vita del puttanone ! Mai rinnegare	1	0
5376	Acida perchè non ha figli Viva il sessismo! #vergogna #TemptationIsland	0	0
5377	<MENTION_1> Io si stupenda ti scopo tutta	1	0
5378	<MENTION_1> Scoppia lurida merda, annega la prossima volta, magari mentre vieni stuprata da un 44enne peloso e col cazzo negro nel culo	1	1
5379	Ma scusate, sto qua che sputa merda addosso a Carmen e ai suoi fan...CHI STRA CAVOLO È?Ma da dove esce sto mongolo qua?Senti caro, vola basso che in alto volano schiaffi.	0	0
5380	e onestamente avere anche dei giudizi sulle scelte altrui, specialmente se si tratta di temi così delicati, è proprio da idioti	0	0
5381	#TheOriginals"Dentro quella psicopatica c'è sempre mia sorella"	1	0
5382	Cinzia era davvero la tipa giusta per divertirsi: tanta cultura e un bel culo da fottere #racconti #erotici	1	0
5383	<MENTION_1> E a che scopo? Destabilizzare ancora di più l'ambiente dal punto di vista mediatico? O magari far passare Pjanic per una merda così da bruciartelo del tutto anche nel caso ti servisse in qualche partita? Queste dichiarazioni vanno fatte anche se i	0	0
5384	ammazzate rachel sta psicopatica grazie #TheKissingBooth2	1	1
5385	porca troia la prenderei a schiaffi se non fosse mia madre	1	1
5386	Samuel Heron - Nella Pancia Della Balena (feat The Kolors)	0	0
5387	Il reato di tortura impedisce agli agenti di fare il proprio lavoro.Giorgia Meloni, 12 luglio 2018.	0	0
5388	<MENTION_1> Mmmm che bel culo sodo e libidinoso mmmm	1	0
5389	La Balena consiglia: nove libri per l'estate | le letture della redazione <MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <MENTION_6> <MENTION_7>	0	0
5390	<MENTION_1> A schiaffi, prendilo a schiaffi.Ti capisco, mio padre passa le cene a dirmi che devo mettere su un po' di peso.	0	0
5391	<MENTION_1> Ti sborro in bocca bella figa	1	1
5392	<MENTION_1> Ti apro in due	1	1
5393	Io amo dormire a pancia in giù ma:	0	0
5394	Ciao cara.. Azz bel culo mmmmm &#x1f60b;&#x1f60b;&#x1f60b; saprei io cosa ci farei &#x1f618;	1	0
5395	<MENTION_1> Soros e Bill Gates. Ah dragoni invece di dire idiozie tu con la tua combriccola guardatevi un torneo di bocce e commentate quello che forse qualcosa la indovinate.	0	0
5396	Culona in cassetta	1	1
5397	<MENTION_1> Beh da troia sottomessa come minimo legata al letto sentendo il cazzo che ti struscia sulla figa ma che entra solo la cappella per lasciarti illusa di una possibile penetrazione... Poi magari ti sborro in faccia come premio	1	1
5398	<MENTION_1> Te lo faccio sentire il mio diamante. Bellissima cucciola sottomessa	1	1
5399	#TemptationIsland come le cose brutte che hai detto tu su Antonella....Pietro coso ...cagati in mano e prenditi a schiaffi	0	0
5400	Condividiamo tutti i consigli di lettura de <MENTION_1> (Qui si comincia finalmente 2666, intanto.)	0	0
5401	<MENTION_1> <MENTION_2> E quindi? Tua madre è morta affogata con una scheggia di legno in gola mentre faceva nu bucchin a Pinocchio	1	0
5402	<MENTION_1> Il problema sei tu vecchia lurida schifosa e i tuoi infami sostenitori di psd e 5 infami dovete essere rasi al suolo vermi schifosi	1	0
5403	L'Inter è evidente che ormai dal punto di vista dell'intensità di gioco e delle motivazioni ha subito un arresto e invece, sull'Inter Twitter, pensano che il problema sia Gagliardini. Dovete darvi alle bocce cari miei, lasciate stare il calcio	0	0
5404	I miei protetti, adesso mi prendo a schiaffi da sola e non smetto più	0	0
5405	In queste foto per me ho le tette grandi quindi proprio a posto	0	0
5406	Ho l'impressione che la retorica delle "mele marce" stavolta sia una coperta troppo corta.	0	0
5407	ho il magone in gola raga, non credo di farcela. vorrei tornare a quando eravamo piccole e spensierate, mi mancherà da morire :)	0	0
5408	<MENTION_1> Ma adesso dobbiamo stare attenti a come commentiamo? No, perchè, come sei nella foto, ti ribalterei sul letto e ti scoperei alla grande mettendo le tue cosce sulle mie spalle.	1	0
5409	<MENTION_1> Una culona sproporzionata	1	0
5410	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <MENTION_6> <MENTION_7> <MENTION_8> <MENTION_9> <MENTION_10> <MENTION_11> <MENTION_12> <MENTION_13> <MENTION_14> <MENTION_15> <MENTION_16> Allora vi spiego subito una cosa Io 	0	0
5411	io ho le tette grandi ecco perché non dormo benequesto spiega molte cose	0	0
5412	Ora mi ascolto tutto 1990 per farmi passare la voglia di prendermi a schiaffi grazie Lauro	0	0
5413	Indonesia, gigantesca balena grigia di 23 metri si arena sulla spiaggia: incerte le cause della morte	0	0
5414	<MENTION_1> CHIAMA LA TIPA IN CAMERA A CAMBIARTI LE LENZUOLA MADONNA QUANTO PIGLIEREI A SCHIAFFI QUELLA SCEMA DELLA TUA AMICA	1	1
5415	Ma pure io-	0	0
5416	e per tutte le teste di cazzo che dicevano IHIHI BEL GIUOCOmI CI PULISCO IL CULO CON STO GIOCO DEL CAZZO testa di merds	0	0
5417	<MENTION_1> non posso tirarti due schiaffi perché clown con te proprio di brutto	0	0
5418	<MENTION_1> E tu prova I il contrario invece.Se pensi che lo stupro e l'oggettificazione delle donne non sia un problema vivi in un'altra mondo. Poi ti ho inviato più link ma non ne hai letto neanche uno, forse solo il titolo. Ti ho inviato link da giorna	0	0
5419	<MENTION_1> Mi stai dando della psicopatica?[hai visto che il metro è abbinato alle scarpe, vero?]	0	0
5420	<MENTION_1> sei una gran cagna in calore	1	0
5421	<MENTION_1> Mi sborri in gola	1	0
5422	<MENTION_1> Infatti è proprio peggiorata, la piu brutta mai vista prima.Oggi doveva farli giocare per vincere con onore questo scudetto, invece la solita porcheria, senza testa né coda. Prende schiaffi da tutti, è penoso, che brutta fine.Via lo devono 	0	0
5423	Anna c'ha proprio quella faccia da cazzo che prenderesti a schiaffi.Quando fa quella faccia soddisfatta mi urta proprio &#x1f926;‍♀️#TemptationIsland	1	0
5424	<MENTION_1> Ma le puttanate che dici, quando le rileggi, non ti fanno venir voglia di prenderti a schiaffi da solo?!?!	0	0
5425	<MENTION_1> Ti scoperei da mattina a sera	1	0
5426	<MENTION_1> <MENTION_2> <MENTION_3> La culona non c’era	1	0
5427	E anche oggi abbiamo Lola studentessa zoccoletta mora #viteallimite	1	0
5428	<MENTION_1> La culona porca si è pentita di non averti dato il culo secondo me... ora le sta provando tutte per recuperare &#x1f602;&#x1f923;	1	1
5429	in questa settimana mi devo suddividere bene il lavoro che devo fare giorno per giorno per non arrivare con l’acqua all gola	0	0
5430	<MENTION_1> Bel panorama che culo	1	0
5431	BRUCIARTI VIVA LURIDA BASTARDA .ASSIEME AI TUOI COMPAGNI DI MERENDE !!! SCHIFOSI INFAMI!!! SIETE MORTI CHE CAMMINANO!!	1	1
5432	<MENTION_1> <MENTION_2> A me non fa vedere il tweet. Aveva almeno un bel culo?	1	0
5433	<MENTION_1> Ti scopo penetrando tutti i buchi poi ti piscerei addosso mi metto sotto la FIGA e mi pisci	1	1
5434	<MENTION_1> che bel culo tutto bagnato	1	0
5435	Ho scoperto di essere stato bloccato da Guia Soncini(<MENTION_1> donna spiritosissima e piena di humor (corcazzo dello stracazzo): la fanciulla risponde acida a qualsiasi commento e se il commento è azzeccato, blocca	1	0
5436	<MENTION_1> <MENTION_2> Non sembra anzi sembri molto sola non ti vorrà nessuno per il tuo essere acida	1	0
5437	<MENTION_1> LA GRANDE IMMENSA PUTTANA DI NAPOLI/CASERTA/SALERNO VA CON CANIBE PORCI NON IMPORTA ETA' PESO O COLORE DI PELLE BASTA CHE CI SIA CAZZO UNA PERSONA SENZA CUORE SENZA SENTIMENTI EGOISTA CHE PENSA SOLO A SESSO E SE LO PAGHI MEGLIO..... PUTTA	1	1
5438	<MENTION_1> <MENTION_2> È perchè? sono sexy, sensuali, belle ed eccitanti solamente le tette grandi? Ma poi che discorso è?! Neanche bisognerebbe dirle certe cose, non è la grandezza del seno che fa una donna. Buona serata	1	0
5439	Piazza venezia chiusaMuro torno chiusoMa allora io ti brucio i semafori e piscio per strada #maledetti	0	0
5440	Melvin Theuma, teste chiave del processo sull'omicidio di #DaphneCaruanaGalizia, è stato trovato ieri con la gola tagliata e le corde vocali recise lo stesso giorno in cui avrebbe dovuto testimoniare.L'Italia faccia sentire forte il sostegno alla famiglia.Giustizia per Daphne!	0	0
5441	<MENTION_1> Che troia, da sfondare per bene e farcire di sborra. Ti inculerei con colpi violenti, sei una porcona fantastica	1	1
5442	se per te una sessualizzazione estrema del corpo di una donna (nel mio caso di una ragazza lesbica e minorenne) non è una molestia sei tu il problema, va in mona de to mare	0	0
5443	Ingredienti per la panna acida:-panna-io	0	0
5444	Se solo il mio riflesso del vomito funzionasse mi metterei due dita in gola	0	0
5445	Il mio cuore in gola riconoscerà il tuo viso tra la folla.	0	0
